sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,giftcard_type,giftcard_allow_open_amount,giftcard_open_amount_min,giftcard_open_amount_max,giftcard_amount,use_config_is_redeemable,giftcard_is_redeemable,use_config_lifetime,giftcard_lifetime,use_config_allow_message,giftcard_allow_message,use_config_email_template,giftcard_email_template,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,downloadable_links,downloadable_samples,associated_skus
SB-ONC-PRC-WB-8ML,,Biospecimen,simple,Bodea/Products,"base,bodea","Prostate Cancer Whole Blood – K2-EDTA (8 mL)","<h4>Additional Information</h4>
<p>Fresh whole blood from donors with confirmed prostate cancer, spanning localized low-risk disease through castration-resistant prostate cancer (CRPC). The K2-EDTA format preserves nucleic acid integrity for PSA gene expression, AR splice variant detection, and CTC enrichment.</p>","Prostate cancer whole blood, K2-EDTA, 8 mL, fresh. PSA levels, Gleason/ISUP grade, AR-V7 status (CRPC), BRCA1/2 mutations documented. Ideal for CTC isolation, PSA assay validation, and AR-V7 detection.",0.100000,2,"Taxable Goods","Catalog, Search",499.000000,,,,prostate-cancer-whole-blood-k2edta-8ml,"Prostate Cancer Whole Blood K2-EDTA | Sanguine Bio","prostate cancer blood, PSA blood, CTC prostate cancer, AR-V7 blood, CRPC whole blood","Prostate cancer whole blood – 8 mL fresh. PSA levels, Gleason grade, AR-V7, BRCA1/2 status documented. Ideal for CTC and AR-V7 liquid biopsy. RUO.",https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:04b21442-9c8b-45a6-99d7-4766664b3529,,https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:04b21442-9c8b-45a6-99d7-4766664b3529,,https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:04b21442-9c8b-45a6-99d7-4766664b3529,,https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:04b21442-9c8b-45a6-99d7-4766664b3529,,6/3/26,8/16/26,,,"Block after Info Column",,,,No,,,,,,,"Use config",,"asset_role_image=https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:04b21442-9c8b-45a6-99d7-4766664b3529,asset_role_small_image=https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:04b21442-9c8b-45a6-99d7-4766664b3529,asset_role_swatch_image=https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:04b21442-9c8b-45a6-99d7-4766664b3529,asset_role_thumbnail=https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:04b21442-9c8b-45a6-99d7-4766664b3529,gift_wrapping_available=No,sanguine_anticoagulant=K2-EDTA,sanguine_cancer_type=Prostate Cancer,sanguine_catalog_number=12345,sanguine_collection_method=Biopsy,sanguine_covid19_variant=Alpha (B.1.1.7),sanguine_cryopreservation_media=CryoStor CS10,sanguine_disease_state=Prostate Cancer,sanguine_infectious_disease_tested=Yes,sanguine_irb_approved=Yes,sanguine_product_series=LeukoCore,sanguine_regulatory_status=Research Use Only (RUO),sanguine_sample_format=Fresh,sanguine_scd_genotype=HbAA (Normal),sanguine_shipping_condition=Ambient / Gel Pack,sanguine_specimen_type=1,sanguine_storage_condition=–80°C,sanguine_volume_size=123415",18.0000,0.0000,1,0,0,1,1.0000,0,10.0000,0,1,1.0000,1,1,0,0,0.0000,1,0,0,0,0,1,,,,,,,https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:04b21442-9c8b-45a6-99d7-4766664b3529,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc8890,,"Agilent LVO",simple,"Default Category/Products",base,"Large Valve Oven for GC (Simple-Customize)","<ul>
<li>Takes up no additional bench space</li>
<li>Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuators</li>
<li>Can accommodate 4-, 6-, 10-, or 14-port valves including Hastelloy valves</li>
<li>Dual thermal zones allow for thermal isolation between column oven and LVO</li>
<li>Independent control of LVO and GC oven zones</li>
<li>Maximum operating temperature of 330 °C (depending on columns and valves)</li>
<li>Ability to configure analyses that require multiple thermal zones, for example, run isothermal in the LVO while temperature ramping the GC oven</li>
<li>Easy maintenance and servicing</li>
<li>Enables highly configurable analyzers</li>
</ul>","<p>The Agilent Large Valve Oven (LVO) for 8890 and 7890B GC systems is a versatile, high-capacity external oven that can be configured to support complex, multi-valve gas chromatography applications. Unlike auxiliary valve ovens from other GC manufacturers, it is mounted on top of the gas chromatograph, optimizing precious laboratory bench space.<br><br>Precisely engineered for thermal isolation from the GC oven, the LVO provides a homogeneous isothermal environment that accommodates up to six positions for columns and valves, with convenient open access for maintenance, adjustment, or customization. Accessibility, capacity, and thermal uniformity make the Agilent LVO ideal for performing various ASTM and EN methods on a single gas chromatography platform.</p>",354.000000,1,"Taxable Goods","Catalog, Search",5000.000000,,,,large-valve-oven-for-gc,"Large Valve Oven for GC","Large Valve Oven for GC","Large Valve Oven for GC 
Takes up no additional bench space
Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuators",https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:5ca3290b-f13c-46da-ac54-4f6901a42f4d,,https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:5ca3290b-f13c-46da-ac54-4f6901a42f4d,,https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:5ca3290b-f13c-46da-ac54-4f6901a42f4d,,https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:5ca3290b-f13c-46da-ac54-4f6901a42f4d,,8/15/26,8/15/26,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config","United States","agilent_column_mandrel_size=Small Mandrel (7 ft-1/8-in),agilent_compatible_gc_platform=8890 GC,agilent_valve_material=Standard,agilent_valve_port_configuration=4-port,asset_role_image=https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:5ca3290b-f13c-46da-ac54-4f6901a42f4d,asset_role_small_image=https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:5ca3290b-f13c-46da-ac54-4f6901a42f4d,asset_role_swatch_image=https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:5ca3290b-f13c-46da-ac54-4f6901a42f4d,asset_role_thumbnail=https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:5ca3290b-f13c-46da-ac54-4f6901a42f4d,gift_wrapping_available=Use config",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,"https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:fb2180d2-e287-4c59-b409-551f4bb76c0e,https://delivery-p158081-e1683323.adobeaemcloud.com/adobe/assets/urn:aaid:aem:5ca3290b-f13c-46da-ac54-4f6901a42f4d",",",,"name=Valve Material,type=drop_down,required=0,price=0.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Standard|name=Valve Material,type=drop_down,required=0,price=400.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Hastelloy|name=Compatible GC Platform,type=drop_down,required=0,price=0.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=8890 GC|name=Compatible GC Platform,type=drop_down,required=0,price=300.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=7890B GC|name=Valve Port Configuration,type=drop_down,required=0,price=0.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=4-port|name=Valve Port Configuration,type=drop_down,required=0,price=100.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=6-port|name=Valve Port Configuration,type=drop_down,required=0,price=200.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=10-port|name=Valve Port Configuration,type=drop_down,required=0,price=300.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=14-port|name=Column Mandrel Size,type=drop_down,required=0,price=0.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Small (7ft of 1/8 OD)|name=Column Mandrel Size,type=drop_down,required=0,price=400.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Large (15ft of 1/8 OD)",,,,,,,,,,,,,,,,,,,,,,,,
"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-4-port",,"Agilent LVO",simple,,base,"Large Valve Oven for GC543-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-4-port","<ul>
<li>Takes up no additional bench space</li>
<li>Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuators</li>
<li>Can accommodate 4-, 6-, 10-, or 14-port valves including Hastelloy valves</li>
<li>Dual thermal zones allow for thermal isolation between column oven and LVO</li>
<li>Independent control of LVO and GC oven zones</li>
<li>Maximum operating temperature of 330 °C (depending on columns and valves)</li>
<li>Ability to configure analyses that require multiple thermal zones, for example, run isothermal in the LVO while temperature ramping the GC oven</li>
<li>Easy maintenance and servicing</li>
<li>Enables highly configurable analyzers</li>
</ul>","<p>The Agilent Large Valve Oven (LVO) for 8890 and 7890B GC systems is a versatile, high-capacity external oven that can be configured to support complex, multi-valve gas chromatography applications. Unlike auxiliary valve ovens from other GC manufacturers, it is mounted on top of the gas chromatograph, optimizing precious laboratory bench space.<br><br>Precisely engineered for thermal isolation from the GC oven, the LVO provides a homogeneous isothermal environment that accommodates up to six positions for columns and valves, with convenient open access for maintenance, adjustment, or customization. Accessibility, capacity, and thermal uniformity make the Agilent LVO ideal for performing various ASTM and EN methods on a single gas chromatography platform.</p>",346.000000,1,"Taxable Goods","Not Visible Individually",400.000000,,,,large-valve-oven-for-gc543-large-mandrel-15-ft-1-8-in-7890b-gc-standard-4-port,"Large Valve Oven for GC543","Large Valve Oven for GC543","Large Valve Oven for GC543 
Takes up no additional bench space
Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuat",,,,,,,,,8/15/26,8/15/26,,,"Block after Info Column",,,,No,,,,,,,"Use config",,"agilent_column_mandrel_size=Large Mandrel (15 ft-1/8-in),agilent_compatible_gc_platform=7890B GC,agilent_valve_material=Standard,agilent_valve_port_configuration=4-port,gift_wrapping_available=Yes",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-6-port",,"Agilent LVO",simple,,base,"Large Valve Oven for GC543-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-6-port","<ul>
<li>Takes up no additional bench space</li>
<li>Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuators</li>
<li>Can accommodate 4-, 6-, 10-, or 14-port valves including Hastelloy valves</li>
<li>Dual thermal zones allow for thermal isolation between column oven and LVO</li>
<li>Independent control of LVO and GC oven zones</li>
<li>Maximum operating temperature of 330 °C (depending on columns and valves)</li>
<li>Ability to configure analyses that require multiple thermal zones, for example, run isothermal in the LVO while temperature ramping the GC oven</li>
<li>Easy maintenance and servicing</li>
<li>Enables highly configurable analyzers</li>
</ul>","<p>The Agilent Large Valve Oven (LVO) for 8890 and 7890B GC systems is a versatile, high-capacity external oven that can be configured to support complex, multi-valve gas chromatography applications. Unlike auxiliary valve ovens from other GC manufacturers, it is mounted on top of the gas chromatograph, optimizing precious laboratory bench space.<br><br>Precisely engineered for thermal isolation from the GC oven, the LVO provides a homogeneous isothermal environment that accommodates up to six positions for columns and valves, with convenient open access for maintenance, adjustment, or customization. Accessibility, capacity, and thermal uniformity make the Agilent LVO ideal for performing various ASTM and EN methods on a single gas chromatography platform.</p>",346.000000,1,"Taxable Goods","Not Visible Individually",600.000000,,,,large-valve-oven-for-gc543-large-mandrel-15-ft-1-8-in-7890b-gc-standard-6-port,"Large Valve Oven for GC543","Large Valve Oven for GC543","Large Valve Oven for GC543 
Takes up no additional bench space
Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuat",,,,,,,,,8/15/26,8/15/26,,,"Block after Info Column",,,,No,,,,,,,"Use config",,"agilent_column_mandrel_size=Large Mandrel (15 ft-1/8-in),agilent_compatible_gc_platform=7890B GC,agilent_valve_material=Standard,agilent_valve_port_configuration=6-port,gift_wrapping_available=Yes",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-10-port",,"Agilent LVO",simple,,base,"Large Valve Oven for GC543-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-10-port","<ul>
<li>Takes up no additional bench space</li>
<li>Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuators</li>
<li>Can accommodate 4-, 6-, 10-, or 14-port valves including Hastelloy valves</li>
<li>Dual thermal zones allow for thermal isolation between column oven and LVO</li>
<li>Independent control of LVO and GC oven zones</li>
<li>Maximum operating temperature of 330 °C (depending on columns and valves)</li>
<li>Ability to configure analyses that require multiple thermal zones, for example, run isothermal in the LVO while temperature ramping the GC oven</li>
<li>Easy maintenance and servicing</li>
<li>Enables highly configurable analyzers</li>
</ul>","<p>The Agilent Large Valve Oven (LVO) for 8890 and 7890B GC systems is a versatile, high-capacity external oven that can be configured to support complex, multi-valve gas chromatography applications. Unlike auxiliary valve ovens from other GC manufacturers, it is mounted on top of the gas chromatograph, optimizing precious laboratory bench space.<br><br>Precisely engineered for thermal isolation from the GC oven, the LVO provides a homogeneous isothermal environment that accommodates up to six positions for columns and valves, with convenient open access for maintenance, adjustment, or customization. Accessibility, capacity, and thermal uniformity make the Agilent LVO ideal for performing various ASTM and EN methods on a single gas chromatography platform.</p>",346.000000,1,"Taxable Goods","Not Visible Individually",1000.000000,,,,large-valve-oven-for-gc543-large-mandrel-15-ft-1-8-in-7890b-gc-standard-10-port,"Large Valve Oven for GC543","Large Valve Oven for GC543","Large Valve Oven for GC543 
Takes up no additional bench space
Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuat",,,,,,,,,8/15/26,8/15/26,,,"Block after Info Column",,,,No,,,,,,,"Use config",,"agilent_column_mandrel_size=Large Mandrel (15 ft-1/8-in),agilent_compatible_gc_platform=7890B GC,agilent_valve_material=Standard,agilent_valve_port_configuration=10-port,gift_wrapping_available=Yes",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-14-port",,"Agilent LVO",simple,,base,"Large Valve Oven for GC543-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-14-port","<ul>
<li>Takes up no additional bench space</li>
<li>Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuators</li>
<li>Can accommodate 4-, 6-, 10-, or 14-port valves including Hastelloy valves</li>
<li>Dual thermal zones allow for thermal isolation between column oven and LVO</li>
<li>Independent control of LVO and GC oven zones</li>
<li>Maximum operating temperature of 330 °C (depending on columns and valves)</li>
<li>Ability to configure analyses that require multiple thermal zones, for example, run isothermal in the LVO while temperature ramping the GC oven</li>
<li>Easy maintenance and servicing</li>
<li>Enables highly configurable analyzers</li>
</ul>","<p>The Agilent Large Valve Oven (LVO) for 8890 and 7890B GC systems is a versatile, high-capacity external oven that can be configured to support complex, multi-valve gas chromatography applications. Unlike auxiliary valve ovens from other GC manufacturers, it is mounted on top of the gas chromatograph, optimizing precious laboratory bench space.<br><br>Precisely engineered for thermal isolation from the GC oven, the LVO provides a homogeneous isothermal environment that accommodates up to six positions for columns and valves, with convenient open access for maintenance, adjustment, or customization. Accessibility, capacity, and thermal uniformity make the Agilent LVO ideal for performing various ASTM and EN methods on a single gas chromatography platform.</p>",346.000000,1,"Taxable Goods","Not Visible Individually",1400.000000,,,,large-valve-oven-for-gc543-large-mandrel-15-ft-1-8-in-7890b-gc-standard-14-port,"Large Valve Oven for GC543","Large Valve Oven for GC543","Large Valve Oven for GC543 
Takes up no additional bench space
Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuat",,,,,,,,,8/15/26,8/15/26,,,"Block after Info Column",,,,No,,,,,,,"Use config",,"agilent_column_mandrel_size=Large Mandrel (15 ft-1/8-in),agilent_compatible_gc_platform=7890B GC,agilent_valve_material=Standard,agilent_valve_port_configuration=14-port,gift_wrapping_available=Yes",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-4-port",,"Agilent LVO",simple,,base,"Large Valve Oven for GC543-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-4-port","<ul>
<li>Takes up no additional bench space</li>
<li>Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuators</li>
<li>Can accommodate 4-, 6-, 10-, or 14-port valves including Hastelloy valves</li>
<li>Dual thermal zones allow for thermal isolation between column oven and LVO</li>
<li>Independent control of LVO and GC oven zones</li>
<li>Maximum operating temperature of 330 °C (depending on columns and valves)</li>
<li>Ability to configure analyses that require multiple thermal zones, for example, run isothermal in the LVO while temperature ramping the GC oven</li>
<li>Easy maintenance and servicing</li>
<li>Enables highly configurable analyzers</li>
</ul>","<p>The Agilent Large Valve Oven (LVO) for 8890 and 7890B GC systems is a versatile, high-capacity external oven that can be configured to support complex, multi-valve gas chromatography applications. Unlike auxiliary valve ovens from other GC manufacturers, it is mounted on top of the gas chromatograph, optimizing precious laboratory bench space.<br><br>Precisely engineered for thermal isolation from the GC oven, the LVO provides a homogeneous isothermal environment that accommodates up to six positions for columns and valves, with convenient open access for maintenance, adjustment, or customization. Accessibility, capacity, and thermal uniformity make the Agilent LVO ideal for performing various ASTM and EN methods on a single gas chromatography platform.</p>",346.000000,1,"Taxable Goods","Not Visible Individually",400.000000,,,,large-valve-oven-for-gc543-large-mandrel-15-ft-1-8-in-7890b-gc-hastelloy-4-port,"Large Valve Oven for GC543","Large Valve Oven for GC543","Large Valve Oven for GC543 
Takes up no additional bench space
Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuat",,,,,,,,,8/15/26,8/15/26,,,"Block after Info Column",,,,No,,,,,,,"Use config",,"agilent_column_mandrel_size=Large Mandrel (15 ft-1/8-in),agilent_compatible_gc_platform=7890B GC,agilent_valve_material=Hastelloy,agilent_valve_port_configuration=4-port,gift_wrapping_available=Yes",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-6-port",,"Agilent LVO",simple,,base,"Large Valve Oven for GC543-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-6-port","<ul>
<li>Takes up no additional bench space</li>
<li>Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuators</li>
<li>Can accommodate 4-, 6-, 10-, or 14-port valves including Hastelloy valves</li>
<li>Dual thermal zones allow for thermal isolation between column oven and LVO</li>
<li>Independent control of LVO and GC oven zones</li>
<li>Maximum operating temperature of 330 °C (depending on columns and valves)</li>
<li>Ability to configure analyses that require multiple thermal zones, for example, run isothermal in the LVO while temperature ramping the GC oven</li>
<li>Easy maintenance and servicing</li>
<li>Enables highly configurable analyzers</li>
</ul>","<p>The Agilent Large Valve Oven (LVO) for 8890 and 7890B GC systems is a versatile, high-capacity external oven that can be configured to support complex, multi-valve gas chromatography applications. Unlike auxiliary valve ovens from other GC manufacturers, it is mounted on top of the gas chromatograph, optimizing precious laboratory bench space.<br><br>Precisely engineered for thermal isolation from the GC oven, the LVO provides a homogeneous isothermal environment that accommodates up to six positions for columns and valves, with convenient open access for maintenance, adjustment, or customization. Accessibility, capacity, and thermal uniformity make the Agilent LVO ideal for performing various ASTM and EN methods on a single gas chromatography platform.</p>",346.000000,1,"Taxable Goods","Not Visible Individually",600.000000,,,,large-valve-oven-for-gc543-large-mandrel-15-ft-1-8-in-7890b-gc-hastelloy-6-port,"Large Valve Oven for GC543","Large Valve Oven for GC543","Large Valve Oven for GC543 
Takes up no additional bench space
Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuat",,,,,,,,,8/15/26,8/15/26,,,"Block after Info Column",,,,No,,,,,,,"Use config",,"agilent_column_mandrel_size=Large Mandrel (15 ft-1/8-in),agilent_compatible_gc_platform=7890B GC,agilent_valve_material=Hastelloy,agilent_valve_port_configuration=6-port,gift_wrapping_available=Yes",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-10-port",,"Agilent LVO",simple,,base,"Large Valve Oven for GC543-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-10-port","<ul>
<li>Takes up no additional bench space</li>
<li>Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuators</li>
<li>Can accommodate 4-, 6-, 10-, or 14-port valves including Hastelloy valves</li>
<li>Dual thermal zones allow for thermal isolation between column oven and LVO</li>
<li>Independent control of LVO and GC oven zones</li>
<li>Maximum operating temperature of 330 °C (depending on columns and valves)</li>
<li>Ability to configure analyses that require multiple thermal zones, for example, run isothermal in the LVO while temperature ramping the GC oven</li>
<li>Easy maintenance and servicing</li>
<li>Enables highly configurable analyzers</li>
</ul>","<p>The Agilent Large Valve Oven (LVO) for 8890 and 7890B GC systems is a versatile, high-capacity external oven that can be configured to support complex, multi-valve gas chromatography applications. Unlike auxiliary valve ovens from other GC manufacturers, it is mounted on top of the gas chromatograph, optimizing precious laboratory bench space.<br><br>Precisely engineered for thermal isolation from the GC oven, the LVO provides a homogeneous isothermal environment that accommodates up to six positions for columns and valves, with convenient open access for maintenance, adjustment, or customization. Accessibility, capacity, and thermal uniformity make the Agilent LVO ideal for performing various ASTM and EN methods on a single gas chromatography platform.</p>",346.000000,1,"Taxable Goods","Not Visible Individually",1000.000000,,,,large-valve-oven-for-gc543-large-mandrel-15-ft-1-8-in-7890b-gc-hastelloy-10-port,"Large Valve Oven for GC543","Large Valve Oven for GC543","Large Valve Oven for GC543 
Takes up no additional bench space
Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuat",,,,,,,,,8/15/26,8/15/26,,,"Block after Info Column",,,,No,,,,,,,"Use config",,"agilent_column_mandrel_size=Large Mandrel (15 ft-1/8-in),agilent_compatible_gc_platform=7890B GC,agilent_valve_material=Hastelloy,agilent_valve_port_configuration=10-port,gift_wrapping_available=Yes",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-14-port",,"Agilent LVO",simple,,base,"Large Valve Oven for GC543-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-14-port","<ul>
<li>Takes up no additional bench space</li>
<li>Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuators</li>
<li>Can accommodate 4-, 6-, 10-, or 14-port valves including Hastelloy valves</li>
<li>Dual thermal zones allow for thermal isolation between column oven and LVO</li>
<li>Independent control of LVO and GC oven zones</li>
<li>Maximum operating temperature of 330 °C (depending on columns and valves)</li>
<li>Ability to configure analyses that require multiple thermal zones, for example, run isothermal in the LVO while temperature ramping the GC oven</li>
<li>Easy maintenance and servicing</li>
<li>Enables highly configurable analyzers</li>
</ul>","<p>The Agilent Large Valve Oven (LVO) for 8890 and 7890B GC systems is a versatile, high-capacity external oven that can be configured to support complex, multi-valve gas chromatography applications. Unlike auxiliary valve ovens from other GC manufacturers, it is mounted on top of the gas chromatograph, optimizing precious laboratory bench space.<br><br>Precisely engineered for thermal isolation from the GC oven, the LVO provides a homogeneous isothermal environment that accommodates up to six positions for columns and valves, with convenient open access for maintenance, adjustment, or customization. Accessibility, capacity, and thermal uniformity make the Agilent LVO ideal for performing various ASTM and EN methods on a single gas chromatography platform.</p>",346.000000,1,"Taxable Goods","Not Visible Individually",1400.000000,,,,large-valve-oven-for-gc543-large-mandrel-15-ft-1-8-in-7890b-gc-hastelloy-14-port,"Large Valve Oven for GC543","Large Valve Oven for GC543","Large Valve Oven for GC543 
Takes up no additional bench space
Six-position isothermal valve oven for actuated valves, micro-gasifiers, needle valves, and columns (including 1/8-in packed columns) with access to valve connections without removing actuat",,,,,,,,,8/15/26,8/15/26,,,"Block after Info Column",,,,No,,,,,,,"Use config",,"agilent_column_mandrel_size=Large Mandrel (15 ft-1/8-in),agilent_compatible_gc_platform=7890B GC,agilent_valve_material=Hastelloy,agilent_valve_port_configuration=14-port,gift_wrapping_available=Yes",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
