source_code,sku,status,quantity
default,SB-ONC-PRC-WB-8ML,1,18.0000
default,SSC-HDG-002,1,200.0000
default,SSC-HDG-005,1,200.0000
default,SSC-MSK-005,1,200.0000
default,STUDSON-SHK1-WHITE,1,50.0000
default,RADIANS-SV2Z-LIME,1,100.0000
default,GSS-7505-LIME,1,100.0000
default,sc8890,1,100.0000
cedar_creek,sc8890,1,100.0000
memphis_americas,sc8890,1,100.0000
cedar_creek,SB-ONC-PRC-WB-8ML,1,21.0000
memphis_americas,SB-ONC-PRC-WB-8ML,1,20.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-4-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-6-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-10-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-14-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-4-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-6-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-10-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Hastelloy-14-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-8890 GC-Standard-4-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-8890 GC-Standard-6-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-8890 GC-Standard-10-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-8890 GC-Standard-14-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-8890 GC-Hastelloy-4-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-8890 GC-Hastelloy-6-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-8890 GC-Hastelloy-10-port",1,100.0000
default,"c8890-Large Mandrel (15 ft-1/8-in)-8890 GC-Hastelloy-14-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-7890B GC-Standard-4-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-7890B GC-Standard-6-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-7890B GC-Standard-10-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-7890B GC-Standard-14-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-7890B GC-Hastelloy-4-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-7890B GC-Hastelloy-6-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-7890B GC-Hastelloy-10-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-7890B GC-Hastelloy-14-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-8890 GC-Standard-4-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-8890 GC-Standard-6-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-8890 GC-Standard-10-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-8890 GC-Standard-14-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-8890 GC-Hastelloy-4-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-8890 GC-Hastelloy-6-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-8890 GC-Hastelloy-10-port",1,100.0000
default,"c8890-Small Mandrel (7 ft-1/8-in)-8890 GC-Hastelloy-14-port",1,100.0000
cedar_creek,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-4-port",1,100.0000
memphis_americas,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-4-port",1,100.0000
cedar_creek,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-6-port",1,100.0000
memphis_americas,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-6-port",1,100.0000
cedar_creek,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-10-port",1,100.0000
memphis_americas,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-10-port",1,100.0000
cedar_creek,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-14-port",1,100.0000
memphis_americas,"c8890-Large Mandrel (15 ft-1/8-in)-7890B GC-Standard-14-port",1,100.0000
